strain,sex,animal_id,sodium,potassium,chloride,calcium,anion_gap,carbon_dioxide,GLU,GLU_fast,BUN,creatinine,WBC,LYM,pct_LYM,MONO,pct_MONO,GRA,pct_GRA,pct_EOS,RBC,MCV,RDW,MCH,MCHC,hemoglobin,hematocrit,platelets,MPV,litter_size,age_first_litter,duration_to_litter,distance3_OFT,distance10_OFT,transitions_OFT,center1_OFT,center10_OFT,distance_center_OFT,pct_center_OFT,latency_periphery_OFT,duration_periphery_OFT,immobile_OFT,fecal_boli_OFT,urination_OFT,duration_light_LD,distance_light_LD,pct_light_LD,latency_dark_LD,transitions_LD,fecal_boli_LD,urination_LD,capture_score,hold_score,wildness_score,tail_clip,hot_plate,pct_sleep_daily,pct_sleep_dark,pct_daily_deprivation,pct_dark_deprivation,act_dark_deprivation,body_weight,tail_length,gonad_fat_wt,heart_wt,kidneyL_wt
129S1/SvImJ,f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,145,20,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,130,24,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,130,24,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,
129S1/SvImJ,f,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,181,27,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,
129S1/SvImJ,f,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,147,22,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
129S1/SvImJ,f,21,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.12,9.5,0.28,0.136,0.166
129S1/SvImJ,f,25,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,9.5,0.902,0.167,0.206
129S1/SvImJ,f,26,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.94,8.7,0.589,0.142,0.148
129S1/SvImJ,f,28,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.05,9.5,0.088,0.108,0.148
